data,cotacao
1994-02-01,0.2317
1994-03-01,0.3321
1994-04-01,0.4736
1994-05-01,0.6819
1994-06-01,0.9625
1994-07-01,0.9365
1994-08-01,0.886
1994-09-01,0.853
1994-10-01,0.8445
1994-11-01,0.8485
1994-12-01,0.847
1995-01-01,0.8405
1995-02-01,0.8505
1995-03-01,0.9
1995-04-01,0.9175
1995-05-01,0.9055
1995-06-01,0.9193
1995-07-01,0.9351
1995-08-01,0.9492
1995-09-01,0.9529
1995-10-01,0.9615
1995-11-01,0.966
1995-12-01,0.9719
1996-01-01,0.978
1996-02-01,0.9845
1996-03-01,0.9877
1996-04-01,0.992
1996-05-01,0.9983
1996-06-01,1.0042
1996-07-01,1.0143
1996-08-01,1.0165
1996-09-01,1.0212
1996-10-01,1.0275
1996-11-01,1.0327
1996-12-01,1.0391
1997-01-01,1.0457
1997-02-01,1.051
1997-03-01,1.0608
1997-04-01,1.0635
1997-05-01,1.0703
1997-06-01,1.0765
1997-07-01,1.0829
1997-08-01,1.0917
1997-09-01,1.096
1997-10-01,1.1026
1997-11-01,1.109
1997-12-01,1.116
1998-01-01,1.1231
1998-02-01,1.13
1998-03-01,1.137
1998-04-01,1.1435
1998-05-01,1.1505
1998-06-01,1.1566
1998-07-01,1.1629
1998-08-01,1.1768
1998-09-01,1.1843
1998-10-01,1.193
1998-11-01,1.2015
1998-12-01,1.2083
1999-01-01,2.085
1999-02-01,2.035
1999-03-01,1.7175
1999-04-01,1.6655
1999-05-01,1.72
1999-06-01,1.753
1999-07-01,1.803
1999-08-01,1.918
1999-09-01,1.937
1999-10-01,1.948
1999-11-01,1.923
1999-12-01,1.8055
2000-01-01,1.784
2000-02-01,1.768
2000-03-01,1.7395
2000-04-01,1.805
2000-05-01,1.824
2000-06-01,1.807
2000-07-01,1.7835
2000-08-01,1.8235
2000-09-01,1.8435
2000-10-01,1.9
2000-11-01,1.9795
2000-12-01,1.95
2001-01-01,1.971
2001-02-01,2.0463
2001-03-01,2.153
2001-04-01,2.201
2001-05-01,2.381
2001-06-01,2.3105
2001-07-01,2.473
2001-08-01,2.564
2001-09-01,2.67
2001-10-01,2.696
2001-11-01,2.495
2001-12-01,2.311
2002-01-01,2.413
2002-02-01,2.365
2002-03-01,2.325
2002-04-01,2.361
2002-05-01,2.518
2002-06-01,2.8175
2002-07-01,3.46
2002-08-01,3.0075
2002-09-01,3.76
2002-10-01,3.65
2002-11-01,3.653
2002-12-01,3.54
2003-01-01,3.504
2003-02-01,3.57
2003-03-01,3.364
2003-04-01,2.911
2003-05-01,2.9735
2003-06-01,2.837
2003-07-01,2.9675
2003-08-01,2.9785
2003-09-01,2.8925
2003-10-01,2.8665
2003-11-01,2.9465
2003-12-01,2.8915
2004-01-01,2.9345
2004-02-01,2.906
2004-03-01,2.896
2004-04-01,2.931
2004-05-01,3.189
2004-06-01,3.086
2004-07-01,3.0375
2004-08-01,2.927
2004-09-01,2.8595
2004-10-01,2.8592
2004-11-01,2.72
2004-12-01,2.656
2005-01-01,2.6088
2005-02-01,2.5895
2005-03-01,2.68
2005-04-01,2.5282
2005-05-01,2.4095
2005-06-01,2.3364
2005-07-01,2.38
2005-08-01,2.3555
2005-09-01,2.2275
2005-10-01,2.2518
2005-11-01,2.2035
2005-12-01,2.3383
2006-01-01,2.212
2006-02-01,2.1235
2006-03-01,2.164
2006-04-01,2.087
2006-05-01,2.3051
2006-06-01,2.1659
2006-07-01,2.1775
2006-08-01,2.1434
2006-09-01,2.1743
2006-10-01,2.1428
2006-11-01,2.165
2006-12-01,2.1365
2007-01-01,2.124
2007-02-01,2.1204
2007-03-01,2.059
2007-04-01,2.0348
2007-05-01,1.9205
2007-06-01,1.929
2007-07-01,1.882
2007-08-01,1.9681
2007-09-01,1.833
2007-10-01,1.7368
2007-11-01,1.7982
2007-12-01,1.78
2008-01-01,1.7588
2008-02-01,1.6914
2008-03-01,1.7564
2008-04-01,1.6622
2008-05-01,1.6265
2008-06-01,1.6041
2008-07-01,1.567
2008-08-01,1.63
2008-09-01,1.9066
2008-10-01,2.1642
2008-11-01,2.3034
2008-12-01,2.3145
2009-01-01,2.32
2009-02-01,2.3914
2009-03-01,2.3169
2009-04-01,2.1898
2009-05-01,1.9715
2009-06-01,1.9525
2009-07-01,1.865
2009-08-01,1.8802
2009-09-01,1.7715
2009-10-01,1.7635
2009-11-01,1.7555
2009-12-01,1.743
2010-01-01,1.885
2010-02-01,1.8072
2010-03-01,1.7837
2010-04-01,1.7375
2010-05-01,1.8201
2010-06-01,1.8039
2010-07-01,1.754
2010-08-01,1.755
2010-09-01,1.6876
2010-10-01,1.7012
2010-11-01,1.715
2010-12-01,1.6595
2011-01-01,1.6675
2011-02-01,1.6638
2011-03-01,1.632
2011-04-01,1.5775
2011-05-01,1.58
2011-06-01,1.5622
2011-07-01,1.549
2011-08-01,1.5892
2011-09-01,1.879
2011-10-01,1.7172
2011-11-01,1.8083
2011-12-01,1.8632
2012-01-01,1.7472
2012-02-01,1.7174
2012-03-01,1.8264
2012-04-01,1.9088
2012-05-01,2.0226
2012-06-01,2.0095
2012-07-01,2.0567
2012-08-01,2.0293
2012-09-01,2.0257
2012-10-01,2.0309
2012-11-01,2.1361
2012-12-01,2.0485
2013-01-01,1.9902
2013-02-01,1.9795
2013-03-01,2.0235
2013-04-01,2.001
2013-05-01,2.1418
2013-06-01,2.2315
2013-07-01,2.2764
2013-08-01,2.3859
2013-09-01,2.2156
2013-10-01,2.239
2013-11-01,2.3355
2013-12-01,2.3618
2014-01-01,2.4122
2014-02-01,2.3381
2014-03-01,2.2714
2014-04-01,2.232
2014-05-01,2.2403
2014-06-01,2.2137
2014-07-01,2.2634
2014-08-01,2.2355
2014-09-01,2.4449
2014-10-01,2.4779
2014-11-01,2.5651
2014-12-01,2.657
2015-01-01,2.6814
2015-02-01,2.838
2015-03-01,3.1947
2015-04-01,3.014
2015-05-01,3.1788
2015-06-01,3.102
2015-07-01,3.4204
2015-08-01,3.6187
2015-09-01,3.9478
2015-10-01,3.8562
