portal,nome,nome_submenu,id_submenu,submenu_ordem,id_consulta,titulo_consulta,tipo_consulta
825,Receitas e Despesas,Despesas públicas,35345,2,71075,Adiantamentos,CONSULTA_PADRAO
825,Receitas e Despesas,Despesas públicas,35345,2,71069,Despesas com Pessoal,CONSULTA_PADRAO
825,Receitas e Despesas,Despesas públicas,35345,2,71059,Despesas de Diárias e Viagens,CONSULTA_PADRAO
825,Receitas e Despesas,Despesas públicas,35345,2,71061,Despesas Orçamentárias,CONSULTA_PADRAO
825,Receitas e Despesas,Despesas públicas,35345,2,71062,Despesas por Credor,CONSULTA_PADRAO
825,Receitas e Despesas,Despesas públicas,35345,2,71063,Despesas por Programas e Ações,CONSULTA_PADRAO
825,Receitas e Despesas,Despesas públicas,35345,2,71031,Execução Detalhada de Despesas,CONSULTA_PADRAO
825,Receitas e Despesas,Despesas públicas,35345,2,71020,Ordem cronológica de empenhos pagos,AGRUPADOR
825,Receitas e Despesas,Execução Extraorçamentária,35344,3,71043,Receitas e Despesas Extraorçamentárias,CONSULTA_PADRAO
825,Pessoal,Quadros de pessoal,35359,2,71074,Cargos e Vencimentos,CONSULTA_PADRAO
825,Pessoal,Servidores,35358,1,75629,Servidores e Remunerações-,CONSULTA_PADRAO
825,Pessoal,Servidores,35358,1,71025,Servidores Públicos,CONSULTA_PADRAO
825,Pessoal,Servidores,35358,1,71027,Servidores Públicos Ativos,CONSULTA_PADRAO
825,Pessoal,Folha de pagamento,35357,3,71058,Folha de Pagamento,AGRUPADOR
825,Licitações e Contratos,Compras Diretas,35363,3,71073,Compras Diretas,CONSULTA_PADRAO
825,Licitações e Contratos,Processos Licitatórios,35362,1,71050,Dispensa de Licitação,CONSULTA_PADRAO
825,Licitações e Contratos,Processos Licitatórios,35362,1,71048,Processos Licitatórios,CONSULTA_PADRAO
825,Licitações e Contratos,Processos Licitatórios,35362,1,71017,Processos Licitatórios Finalizados,CONSULTA_PADRAO
825,Licitações e Contratos,Contratos,35361,2,71071,Contratos,CONSULTA_PADRAO
825,Licitações e Contratos,Contratos,35361,2,171117,Fiscais de Contratos,AGRUPADOR
825,Demonstrativos e Relatórios,Demonstrativos,35355,2,71056,Movimentação Bancária,CONSULTA_PADRAO
825,Demonstrativos e Relatórios,Demonstrativos,35355,2,71035,Transferências Financeiras Concedidas,CONSULTA_PADRAO
825,Demonstrativos e Relatórios,Demonstrativos,35355,2,71034,Transferências Financeiras Recebidas,CONSULTA_PADRAO
825,Demonstrativos e Relatórios,Relatórios,35354,1,154481,Movimentação Bancária Mensal,CONSULTA_PADRAO
825,Demonstrativos e Relatórios,Relatórios,35354,1,71037,Relatórios da Lei de Responsabilidade Fiscal,RELATORIOS
825,Mais consultas,Covid-19,35351,2,71072,Compras Diretas - COVID-19,CONSULTA_PADRAO
482,Administração,Frotas,24346,2,39911,Relação de Veículos,CONSULTA_PADRAO
482,Administração,Almoxarifado,24345,1,39928,Movimentação de Estoque,CONSULTA_PADRAO
482,Receitas e Despesas,Receitas públicas,24343,1,58360,Convênios recebidos,CONSULTA_PADRAO
482,Receitas e Despesas,Receitas públicas,24343,1,39930,Incentivos Fiscais Concedidos,CONSULTA_PADRAO
482,Receitas e Despesas,Receitas públicas,24343,1,39924,Parcerias e Convênios Repassados,CONSULTA_PADRAO
482,Receitas e Despesas,Receitas públicas,24343,1,39897,Receita Prevista x Realizada,LISTA_EM_ARVORE
482,Receitas e Despesas,Receitas públicas,24343,1,39917,Receitas Orçamentárias,CONSULTA_PADRAO
482,Receitas e Despesas,Receitas públicas,24343,1,39918,Receitas Orçamentárias Diárias,CONSULTA_PADRAO
482,Receitas e Despesas,Receitas públicas,24343,1,39914,Receitas Tributárias Arrecadadas,CONSULTA_PADRAO
482,Receitas e Despesas,Despesas públicas,24342,2,39948,Adiantamentos,CONSULTA_PADRAO
482,Receitas e Despesas,Despesas públicas,24342,2,39942,Despesas com Pessoal,CONSULTA_PADRAO
482,Receitas e Despesas,Despesas públicas,24342,2,39932,Despesas de Diárias e Viagens,CONSULTA_PADRAO
482,Receitas e Despesas,Despesas públicas,24342,2,39934,Despesas Orçamentárias,CONSULTA_PADRAO
482,Receitas e Despesas,Despesas públicas,24342,2,39935,Despesas por Credor,CONSULTA_PADRAO
482,Receitas e Despesas,Despesas públicas,24342,2,39936,Despesas por Programas e Ações,CONSULTA_PADRAO
482,Receitas e Despesas,Despesas públicas,24342,2,39904,Execução Detalhada de Despesas,CONSULTA_PADRAO
482,Receitas e Despesas,Despesas públicas,24342,2,39896,Ordem cronológica de empenhos a pagar,AGRUPADOR
482,Receitas e Despesas,Despesas públicas,24342,2,39895,Ordem cronológica de empenhos pagos,AGRUPADOR
482,Receitas e Despesas,Execução Extraorçamentária,24341,3,39916,Receitas e Despesas Extraorçamentárias,CONSULTA_PADRAO
482,Licitações e Contratos,Notas Fiscais,24361,4,39927,Notas Fiscais Recebidas,CONSULTA_PADRAO
482,Licitações e Contratos,Compras Diretas,24360,3,39946,Compras Diretas,CONSULTA_PADRAO
482,Licitações e Contratos,Processos Licitatórios,24359,1,39923,Dispensa de Licitação,CONSULTA_PADRAO
482,Licitações e Contratos,Processos Licitatórios,24359,1,39922,Inexigibilidade de Licitação,CONSULTA_PADRAO
482,Licitações e Contratos,Processos Licitatórios,24359,1,39921,Processos Licitatórios,CONSULTA_PADRAO
482,Licitações e Contratos,Contratos,24358,2,39944,Contratos,CONSULTA_PADRAO
482,Licitações e Contratos,Contratos,24358,2,170528,Fiscais de Contratos,AGRUPADOR
482,Pessoal,Quadros de pessoal,24356,2,39947,Cargos e Vencimentos,CONSULTA_PADRAO
482,Pessoal,Servidores,24355,1,39939,Estagiários,CONSULTA_PADRAO
482,Pessoal,Servidores,24355,1,39903,Servidores Cedidos/Recebidos,CONSULTA_PADRAO
482,Pessoal,Servidores,24355,1,75632,Servidores e Remunerações-,CONSULTA_PADRAO
482,Pessoal,Servidores,24355,1,39898,Servidores Públicos,CONSULTA_PADRAO
482,Pessoal,Servidores,24355,1,39900,Servidores Públicos Ativos,CONSULTA_PADRAO
482,Pessoal,Folha de pagamento,24354,3,39931,Folha de Pagamento,AGRUPADOR
482,Obras e Patrimônio público,Obras,24339,5,39926,Obras Públicas,CONSULTA_PADRAO
482,Obras e Patrimônio público,Bens Patrimoniais,24338,1,39912,Relação de Bens do Patrimônio Público,CONSULTA_PADRAO
482,Demonstrativos e Relatórios,Demonstrativos,24352,2,39929,Movimentação Bancária,CONSULTA_PADRAO
482,Demonstrativos e Relatórios,Demonstrativos,24352,2,39908,Transferências Financeiras Concedidas,CONSULTA_PADRAO
482,Demonstrativos e Relatórios,Demonstrativos,24352,2,39907,Transferências Financeiras Recebidas,CONSULTA_PADRAO
482,Demonstrativos e Relatórios,Demonstrativos,24352,2,39906,Transferências Voluntárias,CONSULTA_PADRAO
482,Demonstrativos e Relatórios,Relatórios,24351,1,153882,Movimentação Bancária Mensal,CONSULTA_PADRAO
482,Demonstrativos e Relatórios,Relatórios,24351,1,44646,Relatórios da Lei 4.320/64,RELATORIOS
482,Demonstrativos e Relatórios,Relatórios,24351,1,44136,Relatórios da Lei 9.755/98,RELATORIOS
482,Demonstrativos e Relatórios,Relatórios,24351,1,39910,Relatórios da Lei de Responsabilidade Fiscal,RELATORIOS
482,Mais consultas,Educação Transparente,24349,1,39943,Contratos - Educação,CONSULTA_PADRAO
482,Mais consultas,Educação Transparente,24349,1,39941,Despesas com Pessoal - Educação,CONSULTA_PADRAO
482,Mais consultas,Educação Transparente,24349,1,39933,Despesas de Diárias e Viagens - Educação,CONSULTA_PADRAO
