uf,codigo_uf,codigo_municipio,municipio,populacao
RO,11,15,Alta Floresta D'Oeste, 21 494
RO,11,23,Ariquemes, 96 833
RO,11,31,Cabixi, 5 351
RO,11,49,Cacoal, 86 887
RO,11,56,Cerejeiras, 15 890
RO,11,64,Colorado do Oeste, 15 663
RO,11,72,Corumbiara, 7 519
RO,11,80,Costa Marques, 12 627
RO,11,98,Espigão D'Oeste, 29 414
RO,11,106,Guajará-Mirim, 39 387
RO,11,114,Jaru, 50 591
RO,11,122,Ji-Paraná, 124 333
RO,11,130,Machadinho D'Oeste, 30 707
RO,11,148,Nova Brasilândia D'Oeste, 15 679
RO,11,155,Ouro Preto do Oeste, 35 044
RO,11,189,Pimenta Bueno, 35 079
RO,11,205,Porto Velho, 460 434
RO,11,254,Presidente Médici, 19 327
RO,11,262,Rio Crespo, 3 471
RO,11,288,Rolim de Moura, 56 406
RO,11,296,Santa Luzia D'Oeste, 7 419
RO,11,304,Vilhena, 95 832
RO,11,320,São Miguel do Guaporé, 21 635
RO,11,338,Nova Mamoré, 25 444
RO,11,346,Alvorada D'Oeste, 13 117
RO,11,379,Alto Alegre dos Parecis, 11 479
RO,11,403,Alto Paraíso, 16 320
RO,11,452,Buritis, 27 992
RO,11,502,Novo Horizonte do Oeste, 7 667
RO,11,601,Cacaulândia, 4 150
RO,11,700,Campo Novo de Rondônia, 8 844
RO,11,809,Candeias do Jamari, 22 310
RO,11,908,Castanheiras, 3 233
RO,11,924,Chupinguaia, 9 324
RO,11,940,Cujubim, 14 863
RO,11,1005,Governador Jorge Teixeira, 8 001
RO,11,1104,Itapuã do Oeste, 8 548
RO,11,1203,Ministro Andreazza, 6 466
RO,11,1302,Mirante da Serra, 9 235
RO,11,1401,Monte Negro, 11 548
RO,11,1435,Nova União, 6 200
RO,11,1450,Parecis, 4 125
RO,11,1468,Pimenteiras do Oeste, 2 156
RO,11,1476,Primavera de Rondônia, 3 076
RO,11,1484,São Felipe D'Oeste, 5 258
RO,11,1492,São Francisco do Guaporé, 16 286
RO,11,1500,Seringueiras, 11 171
RO,11,1559,Teixeirópolis, 4 256
RO,11,1609,Theobroma, 8 113
RO,11,1708,Urupá, 10 725
RO,11,1757,Vale do Anari, 7 788
RO,11,1807,Vale do Paraíso, 6 479
AC,12,13,Acrelândia, 14 021
AC,12,54,Assis Brasil, 8 100
AC,12,104,Brasiléia, 26 000
AC,12,138,Bujari, 12 917
AC,12,179,Capixaba, 10 392
AC,12,203,Cruzeiro do Sul, 91 888
AC,12,252,Epitaciolândia, 18 757
AC,12,302,Feijó, 35 426
AC,12,328,Jordão, 9 222
AC,12,336,Mâncio Lima, 19 294
AC,12,344,Manoel Urbano, 11 996
AC,12,351,Marechal Thaumaturgo, 17 093
AC,12,385,Plácido de Castro, 16 560
AC,12,393,Porto Walter, 10 735
AC,12,401,Rio Branco, 364 756
AC,12,427,Rodrigues Alves, 14 938
AC,12,435,Santa Rosa do Purus, 6 723
AC,12,450,Senador Guiomard, 21 454
AC,12,500,Sena Madureira, 41 343
AC,12,609,Tarauacá, 43 467
AC,12,708,Xapuri, 18 243
AC,12,807,Porto Acre, 16 693
AM,13,29,Alvarães, 15 866
AM,13,60,Amaturá, 10 819
AM,13,86,Anamã, 9 962
AM,13,102,Anori, 17 194
AM,13,144,Apuí, 20 647
AM,13,201,Atalaia do Norte, 15 314
AM,13,300,Autazes, 41 564
AM,13,409,Barcelos, 18 834
AM,13,508,Barreirinha, 31 051
AM,13,607,Benjamin Constant, 37 648
AM,13,631,Beruri, 20 718
AM,13,680,Boa Vista do Ramos, 23 785
AM,13,706,Boca do Acre, 35 447
AM,13,805,Borba, 33 080
AM,13,839,Caapiranga, 13 469
AM,13,904,Canutama, 16 869
AM,13,1001,Carauari, 28 742
AM,13,1100,Careiro, 30 792
AM,13,1159,Careiro da Várzea, 19 637
AM,13,1209,Coari, 70 616
AM,13,1308,Codajás, 23 549
AM,13,1407,Eirunepé, 33 170
AM,13,1506,Envira, 17 186
AM,13,1605,Fonte Boa, 25 871
AM,13,1654,Guajará, 13 815
AM,13,1704,Humaitá, 57 473
AM,13,1803,Ipixuna, 24 311
AM,13,1852,Iranduba, 61 163
AM,13,1902,Itacoatiara, 103 598
AM,13,1951,Itamarati, 10 937
AM,13,2009,Itapiranga, 10 162
AM,13,2108,Japurá, 8 858
AM,13,2207,Juruá, 10 742
AM,13,2306,Jutaí, 25 172
AM,13,2405,Lábrea, 45 448
