sentença,sentimento
Ganhei um desconto em uma compra que estava planejando fazer.,1
Eu não tenho ninguém para me entender.,0
Fiz uma aula de culinária e meu prato ficou delicioso.,1
Estou com uma alergia terrível.,0
"Minha tia ficou doente e preciso cuidar dela, mas isso significa abrir mão dos meus planos.",0
Sinto-me vazio e sem vontade de seguir em frente.,0
Meu restaurante favorito está fechado para reformas.,0
Eu sou uma falha.,0
Meu pior pesadelo se tornou realidade.,0
"Não importa o que aconteça, sei que posso contar com você.",1
Não tenho sorte em nada.,0
Minha saúde está piorando,0
Comprei um livro que estava querendo há tempos.,1
Minha equipe de trabalho é incrível e me apoia.,1
Me diverti muito na festa de ontem.,1
A vida é cheia de possibilidades emocionantes.,1
O sentimento de pertencimento a um grupo me faz sentir amado e acolhido.,1
Sou grato por todas as oportunidades que tenho.,1
Meu futuro é incerto,0
A felicidade é um estado de espírito e eu escolho ser feliz todos os dias.,1
Minha internet caiu bem no meio de uma reunião importante e perdi tudo.,0
Não há um único raio de luz em minha vida.,0
A compaixão é uma das qualidades mais valiosas.,1
Eu me sinto feliz quando faço alguém sorrir.,1
Recebi a notícia de que vou ser tia novamente.,1
Meu prazo para entregar um projeto importante é amanhã e ainda não consegui terminar.,0
Minhas amizades são verdadeiras e leais.,1
Fui a um show da minha banda favorita e me diverti muito.,1
Sinto um desânimo constante que não consigo explicar,0
Eu me sinto culpado pela sociedade.,0
O sentimento de conquista é maravilhoso.,1
"Sorria, porque a vida é curta demais para se preocupar.",1
Eu acredito no bem das pessoas.,1
Eu não mereço nada além de sofrimento.,0
"Meu sanduíche veio com cebola, mesmo eu tendo pedido sem.",0
O pôr do sol dessa tarde foi de encantar os olhos.,1
Minha vida é uma tragédia.,0
O otimismo é meu combustível para alcançar meus sonhos.,1
44. É frustrante ver pessoas que não merecem ter sucesso enquanto você luta todos os dias para conquistar seus sonhos.,0
Sinto que não tenho mais forças para enfrentar as batalhas da vida.,0
Não consigo me concentrar em nada.,0
Eu sou um bom cidadão.,1
"O pôr do sol hoje à noite estava simplesmente deslumbrante.""",1
Tudo em minha vida está desmoronando.,0
Passei a tarde tomando sorvete com meus amigos e foi delicioso.,1
Eu sou um ser de cura.,1
Não há pior sentimento do que o de impotência diante de uma situação.,0
Não consigo me livrar do passado,0
É incrível quando consigo me conectar profundamente com alguém.,1
Não sei mais em quem confiar.,0
"A cada dia que passa, me sinto mais vazio e sem propósito.",0
Não tenho motivos para sorrir.,0
Não vejo esperança para o futuro.,0
Me sinto um completo inútil,0
Sou grata por ter a chance de recomeçar todos os dias.,1
Tudo o que faço é criticado pelos outros.,0
Sinto que não sou merecedor de amor ou felicidade,0
A cada dia aprendo algo novo.,1
Me senti humilhado(a) e envergonhado(a) na frente de todos.,0
Eu sou uma mancha na sociedade.,0
Sou grato por ter saúde e poder aproveitar a vida ao máximo.,1
A gentileza é a linguagem que o surdo pode ouvir e o cego pode ver.,1
Meu telefone foi roubado e perdi todas as minhas fotos e contatos que não estavam no backup.,0
Sinto que nunca terei um relacionamento amoroso saudável.,0
O sol está brilhando e o dia está lindo.,1
Eu nunca terei sucesso,0
Parabéns pelo seu esforço constante!,1
Ninguém me valoriza,0
"Não sei como vou superar essa traição, confiei demais na pessoa errada.",0
Sinto que não pertenço a lugar nenhum.,0
"As coisas boas da vida estão presentes em todos os lugares, basta enxergá-las.",1
Fiz uma viagem incrível e tenho memórias maravilhosas para guardar.,1
"A cada experiência, eu aprendo mais sobre mim e sobre o mundo.",1
A persistência supera o talento quando o talento não persiste.,1
Tenho muitas pessoas que me admiram e apreciam.,1
Não tenho controle sobre minhas emoções e isso me assusta.,0
Sinto que minha vida é um ciclo de tristeza e decepção.,0
Sempre encontro motivos para sorrir e ser feliz.,1
Não consigo encontrar paz em nenhum lugar.,0
Descobri que serei tio novamente e me senti abençoado.,1
A felicidade é um estado de espírito que cultivo todos os dias.,1
Tenho vergonha do que me tornei e não sei como mudar.,0
A gratidão é a chave para a felicidade.,1
Eu estou confiante de que posso ter sucesso.,1
Estou afundando em dívidas e não consigo sair dessa situação.,0
"Não sei como vou reconstruir minha vida depois dessa decepção, parece que não sobrou nada.",0
Minha autoestima está em baixa ultimamente.,0
Isso é tão frustrante.,0
Tudo que tento dá errado e me sinto um fracasso.,0
Eu me sinto desvalorizado.,0
Sinto que estou sempre sozinho.,0
"Não posso confiar em ninguém, nem em mim mesmo",0
Eu me sinto inadequado para mim mesmo.,0
A sensação de pertencimento a um grupo é algo que todos buscamos.,1
Tenho uma vida cheia de amor e amizade.,1
Estou me sentindo perdido e sem esperança.,0
Tenho muito amor para dar e essa é minha missão de vida.,1
Receber um elogio de alguém que admiro é uma das melhores sensações.,1
Não sou capaz de ter sucesso.,0
Um desconhecido me deu um elogio no meio da rua e me surpreendeu.,1
A felicidade está nas coisas simples e eu aprendi a valorizá-las.,1
Todos estão indo melhor do que eu,0
Minha vida é cheia de cores.,1
Não aguento mais conviver com essa dor no meu peito,0
Viajar me deixa sempre feliz e empolgado.,1
Ganhei um abraço surpresa da minha melhor amiga.,1
O amor é a força mais poderosa do universo e eu o sinto em mim a cada dia.,1
"Após um dia como esse, só posso agradecer por tudo.",1
Me sinto vazio por dentro.,0
Um simples abraço me faz sentir amado e acolhido.,1
Viajar é sempre uma experiência maravilhosa.,1
Nada parece me trazer alegria ou satisfação,0
"A festa surpresa que meus amigos prepararam para mim foi incrível, me senti amado.",1
Realizei um grande sonho recentemente.,1
Recebi uma carta de recomendação do meu chefe.,1
Estou sempre desapontado.,0
Meu coração é cheio de amor e isso me faz uma pessoa feliz.,1
Não sei mais onde procurar por esperança.,0
Estou muito feliz com a minha carreira profissional.,1
Meu ex está me fazendo sofrer com mensagens e ligações constantes.,0
Eu me sinto grato por ter pessoas que me fazem sorrir.,1
Aquele almoço em família foi tudo de bom.,1
31. Acho que nunca vou ser bom o suficiente para meus pais.,0
93. Sinto que nunca vou ser bom o suficiente para ser amado e respeitado.,0
Recebi um presente feito à mão com muito carinho.,1
Minha chefe não para de me dar tarefas extras.,0
"Não me falta nada, tenho amor, saúde e paz.",1
A gratidão é o caminho para a felicidade e eu sigo por ele todos os dias.,1
Recebi uma mensagem de um(a) ex-colega de escola e pude relembrar momentos felizes.,1
Minha encomenda foi extraviada.,0
Parece que todo o meu esforço é em vão,0
Cada novo dia é uma oportunidade de recomeçar.,1
Eu estou com medo do futuro.,0
Não consigo me encaixar nos padrões de beleza da sociedade.,0
Agradeço por ter amigos tão incríveis na minha vida.,1
O entusiasmo das crianças é inspirador.,1
A gratidão é o combustível que me move todos os dias.,1
O carro da frente freou bruscamente e quase bati.,0
Nada supera a sensação de conseguir superar um medo ou obstáculo.,1
Estou de férias e aproveitando cada segundo.,1
Eu sou um ser de esperança.,1
Todos me decepcionam e só me sinto mais desiludido.,0
Nada faz sentido ou tem lógica,0
Eu me sinto inútil para meus amigos.,0
Recebi a notícia que fui aprovado(a) no concurso e estou explodindo de felicidade.,1
Posso contar com meus amigos para tudo.,1
Ganhei um presente surpresa de alguém especial.,1
Não tenho sorte em nada,0
Minha saúde mental está cada vez pior e não tenho acesso a terapia.,0
Minha família é a maior fonte de amor e felicidade para mim.,1
Sinto que as pessoas sempre querem me ferir.,0
